ID,SMILE
ID0000034,O=C(O)CCC(=O)c1ccccc1C(=O)O>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)O
ID0000035,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cc(CN[C@H]4C=C[C@H](O)[C@@H]4O)c4c(=O)[nH]c(N)nc43)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O>>*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cc(CN[C@@H]4[C@@H](O)[C@@H](O)[C@@H]5O[C@H]45)c4c(=O)[nH]c(N)nc43)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O
ID0000036,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4Nc5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O>>CC[C@H]1[C@@H]2C[C@H]3[C@@H]4Nc5ccccc5[C@]45C[C@@H](C2[C@H]5OC(C)=O)N3[C@@H]1O
ID0000037,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)Cc1ccccc1>>CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
ID0000038,COc1cc(C=CC(=O)NCCCCN=C(N)N)ccc1O>>COc1cc(/C=C/C(=O)NCCCCN=C(N)N)cc2c1O[C@H](c1ccc(O)cc1)C2C(=O)NCCCCN=C(N)N
ID0000039,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CO>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)(O)O
ID0000040,OC[C@@H](O)C(O)[C@H](O)CO>>OCC1(O)OC[C@@H](O)[C@@H]1O
ID0000041,O=C(O)C1=CC(CC=NC(Cc2ccc(O)cc2)C(=O)O)CC(C(=O)O)=N1>>NC(Cc1ccc(O)cc1)C(=O)O
ID0000042,Nc1c(O)c2ccc(O)c(Cl)c2oc1=O>>Nc1c(O)c2ccc(O)cc2oc1=O
ID0000043,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O>>*C(=O)C(CO)NC(=O)C(CCSC)NC(C)=O
ID0000044,C=C(C)CCOP(=O)(O)O>>C[C@@](CCOP(=O)(O)O)(CC(=O)O)OP(=O)(O)O
ID0000045,CC(CC=O)C(N)C(=O)NCCCCC(N)C(=O)O>>CC(CCN)C(N)C(=O)NCCCCC(N)C(=O)O
